# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.0005529561839900506,0,3.0,-0.0015977083324225279,0.0,0.0,0.0
 0.08945497237319262,1.012003288122874,2.9999998841573943,-0.0005529561839900506,0.2683649171195779,3.0,-0.0015977083324225279,0.0,-0.02964880738449767,0.0
 0.12652562237427256,1.0240130996702441,2.999999537868534,-0.001652056745490198,0.3795768671228177,2.9999999999999996,-0.0015822618868442254,0.0,-0.038270697891776694,0.0
 0.15498248380497193,1.0360293554102347,2.999998962991858,-0.002741120692252646,0.4649474514149158,3.0,-0.0015669013670021712,0.0,-0.04496145407716472,0.0
 0.1789822638456958,1.048051976110969,2.9999981613858036,-0.0038201857004157066,0.5369467915370874,2.9999999999999987,-0.0015516170946268545,0.0,-0.05054265499639128,0.0
 0.20013475898403008,1.0600808825405705,2.999997134908808,-0.00488928896450538,0.6004042769520902,3.0,-0.0015364094639428514,0.0,-0.05536544114633322,0.0
 0.21926543369752682,1.0721159954671624,2.9999958854193087,-0.0059484672094451295,0.6577963010925804,2.9999999999999956,-0.001521289364177376,0.0,-0.05962165017492423,0.0
 0.2368645687636165,1.084157235658869,2.9999944147757436,-0.00699775668373677,0.7105937062908494,3.0,-0.0015062417097597661,0.0,-0.0634306126922011,0.0
 0.25325155379165776,1.0962045238838127,2.9999927248365497,-0.008037193184243353,0.7597546613749732,3.0,-0.0014912721968287827,0.0,-0.06687293924271653,0.0
 0.2686481979889386,1.1082577809101182,2.999990817460165,-0.009066812036189838,0.8059445939668156,3.0,-0.0014763760126066637,0.0,-0.0700063194755223,0.0
 0.2832159696612159,1.1203169275059084,2.9999886945050265,-0.01008664811392575,0.8496479089836477,3.000000000000004,-0.0014615536109425194,0.0,-0.07287384448306698,0.0
 0.2970767413384293,1.132381884439307,2.9999863578295725,-0.011096735833546298,0.891230224015288,3.000000000000004,-0.001446810942395106,0.0,-0.07550878639337721,0.0
 0.31032517748813326,1.1444525724784371,2.9999838092922393,-0.01209710916882059,0.9309755324643999,3.0000000000000084,-0.0014321321663046185,0.0,-0.07793752138076906,0.0
 0.32303654478774607,1.156528912391423,2.9999810507514657,-0.013087801629512973,0.9691096343632384,3.0000000000000044,-0.0014175231209098563,0.0,-0.0801814189459874,0.0
 0.33527185667932613,1.1686108249463873,2.999978084065689,-0.014068846298226575,1.0058155700379785,2.9999999999999956,-0.0014029898768051535,0.0,-0.08225810316957904,0.0
 0.3470813864243057,1.1806982309114544,2.999974911093346,-0.015040275814373316,1.0412441592729171,2.999999999999995,-0.0013885217802726963,0.0,-0.08418233143881063,0.0
 0.35850713969483416,1.1927910510547475,2.9999715336928756,-0.01600212236313102,1.0755214190845024,2.9999999999999853,-0.0013741249324826423,0.0,-0.08596662744018312,0.0
 0.3695846402269938,1.2048892061443899,2.9999679537227135,-0.016954417724347613,1.1087539206809813,3.00000000000001,-0.001359788402533924,0.0,-0.087621731515201,0.0
 0.38034424830861313,1.216992616948505,2.9999641730412985,-0.01789719321488405,1.1410327449258395,3.00000000000001,-0.001345529942071127,0.0,-0.08915695434919171,0.0
 0.3908121533190616,1.229101204235217,2.999960193507068,-0.01883047974403228,1.1724364599571848,2.9999999999999893,-0.0013313210481759503,0.0,-0.09058043161789414,0.0
 0.4010111337026622,1.241214888772649,2.999956016978459,-0.01975430778924126,1.2030334011079868,3.0000000000000164,-0.0013171913949149897,0.0,-0.09189932985165362,0.0
 0.4109611476973038,1.2533335913289245,2.9999516453139092,-0.020668707407363398,1.2328834430919116,3.0,-0.0013031120125465894,0.0,-0.09312000372947847,0.0
 0.4206797987208276,1.265457232672167,2.9999470803718564,-0.021573708226919435,1.262039396162483,2.9999999999999942,-0.0012891011372515538,0.0,-0.0942481254638567,0.0
 0.4301827064621603,1.2775857335704999,2.9999423240107386,-0.02246933946799601,1.290548119386481,3.0,-0.001275147255153146,0.0,-0.09528878455302194,0.0
 0.43948380602571363,1.2897190147920472,2.999937378088992,-0.023355629940413652,1.318451418077141,2.9999999999999942,-0.0012612507344018583,0.0,-0.09624656904810967,0.0
 0.44859559147541034,1.301856997104932,2.9999322444650556,-0.024232608027849448,1.345786774426231,3.0,-0.0012474244149047497,0.0,-0.0971256387345817,0.0
 0.457529315909039,1.313999601277278,2.9999269249973657,-0.02510030171974437,1.372587947727117,2.999999999999994,-0.0012336502738957897,0.0,-0.09792977558724578,0.0
 0.46629515718475467,1.3261467480772087,2.9999214215443604,-0.025958738588708622,1.398885471554264,3.0,-0.0012199349543820842,0.0,-0.09866243518855368,0.0
 0.4749023562422601,1.3382983582728476,2.9999157359644775,-0.026807945807874736,1.4247070687267804,3.0000000000000067,-0.0012062725764209637,0.0,-0.09932678469242677,0.0
 0.48335933336143944,1.3504543526323185,2.999909870116154,-0.027647950153340237,1.4500780000843185,3.0000000000000195,-0.0011926699878119335,0.0,-0.09992573508638694,0.0
 0.49167378651228577,1.3626146519237443,2.999903825857827,-0.028478777996279882,1.4750213595368575,3.0,-0.0011791212600473493,0.0,-0.10046197139335607,0.0
 0.4998527750562334,1.374779176915249,2.9998976050479356,-0.029300455309408533,1.4995583251687004,3.0,-0.001165626847301043,0.0,-0.10093797826631795,0.0
 0.507902791380056,1.386947848374956,2.999891209544916,-0.03011300768214605,1.5237083741401682,3.0,-0.0011521872448424064,0.0,-0.10135605690683301,0.0
